ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Tank Volume ,BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,"Status flag (subcooled=1, superheated=0)",Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Liquid Type,Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Duplicate Flag,missing values,Target Pressure (bar)
10704,41.81,0.39,1.98,4.62,2.2,20.12472,0.6,1.4,420.45,306.98,16,10,5,2.82,14,1,42.5,-42,96.7,0,13,2,16.95,4,-1.1,0,0,1.2578124
6536,41.8,0.76,2,1.79,1.98,7.0884,1.99,0.39,429.78,297.08,10,8,7,0.82,27,1,42.5,-42,96.7,0,3,1,11.85,1.2,4.6,0,0,0.064730585
7989,41.8,0.26,2.42,8.42,0.82,16.708648,0.38,0.58,402.29,284.49,10,13,6,1.38,16,1,42.5,-42,96.7,0,25,5,11.9,9.35,-0.5,0,0,0.21565303
6550,41.79,0.76,2.01,1.8,2,7.236,1.98,0.4,429.58,297.35,10,8,7,0.79,27,1,42.5,-42,96.7,0,17,2,10.95,8.8,1.3,0,0,0.30459175
6551,41.79,0.76,2.01,1.8,2,7.236,2,0.38,429.09,297.07,10,8,7,0.81,27,1,42.5,-42,96.7,0,18,2,10.95,8.8,4.6,0,0,0.17393729
10702,41.79,0.39,1.98,4.6,2.21,20.12868,0.6,1.39,420.94,306.63,16,10,5,2.79,14,1,42.5,-42,96.7,0,11,2,16.95,-0.8,1.2,0,0,1.4842989
6541,41.77,0.76,2.01,1.82,1.99,7.279818,1.99,0.41,430.36,297.42,10,8,7,0.8,27,1,42.5,-42,96.7,0,8,1,11.85,8.8,1.3,0,0,0.04190382
7966,41.77,0.26,2.42,8.4,0.8,16.2624,0.39,0.61,401.76,285.02,10,13,6,1.38,16,1,42.5,-42,96.7,0,2,1,12.65,-3.5,2.3,0,0,0.16140732
6545,41.76,0.76,2,1.78,1.99,7.0844,2,0.4,429.78,297.81,10,8,7,0.81,27,1,42.5,-42,96.7,0,12,2,10.95,1.2,4.6,0,0,0.17842461
7982,41.75,0.26,2.41,8.4,0.79,15.99276,0.4,0.62,403.78,284.83,10,13,6,1.39,16,1,42.5,-42,96.7,0,18,2,11.15,9.1,5.1,0,0,0.7506519
7987,41.75,0.26,2.4,8.39,0.81,16.31016,0.41,0.62,403.27,285.05,10,13,6,1.39,16,1,42.5,-42,96.7,0,23,4,11.9,2.8,5.4,0,0,0.44467366
7988,41.75,0.26,2.38,8.4,0.82,16.39344,0.41,0.58,403.25,285.13,10,13,6,1.39,16,1,42.5,-42,96.7,0,24,4,11.9,9.1,5.4,0,0,0.30106032
10693,41.73,0.39,2.02,4.6,2.21,20.53532,0.58,1.39,418.99,307.01,16,10,5,2.79,14,1,42.5,-42,96.7,0,2,1,19.85,-0.8,1.2,0,0,0.1841841
10701,41.73,0.39,1.99,4.58,2.19,19.960098,0.61,1.4,419.83,306.35,16,10,5,2.81,14,1,42.5,-42,96.7,0,10,2,16.95,-0.8,-1.1,0,0,1.5016092
10694,41.72,0.39,2.01,4.61,2.2,20.38542,0.62,1.41,419.81,306.52,16,10,5,2.79,14,1,42.5,-42,96.7,0,3,1,19.85,-0.8,3.5,0,0,0.24723575
10700,41.72,0.39,2.01,4.61,2.19,20.292759,0.61,1.4,420.82,306.65,16,10,5,2.81,14,1,42.5,-42,96.7,0,9,1,19.85,8.8,3.5,0,0,0.16343151
7977,41.71,0.26,2.4,8.38,0.78,15.68736,0.41,0.6,401.84,284.95,10,13,6,1.38,16,1,42.5,-42,96.7,0,13,2,11.15,2.8,-0.5,0,0,1.3902321
7983,41.71,0.26,2.39,8.41,0.79,15.878921,0.4,0.59,401.99,284.83,10,13,6,1.39,16,1,42.5,-42,96.7,0,19,3,11.9,-3.75,-0.5,0,0,0.6264267
10708,41.7,0.39,2,4.59,2.21,20.2878,0.61,1.4,421.19,306.94,16,10,5,2.78,14,1,42.5,-42,96.7,0,17,2,16.95,8.8,1.2,0,0,0.80002666
7965,41.68,0.26,2.41,8.42,0.81,16.436682,0.41,0.62,402.33,285.1,10,13,6,1.39,16,1,42.5,-42,96.7,0,1,1,12.65,-3.5,-0.5,0,0,0.1755923
7978,41.67,0.26,2.41,8.4,0.78,15.79032,0.38,0.59,402.58,283.98,10,13,6,1.39,16,1,42.5,-42,96.7,0,14,2,11.15,2.8,2.3,0,0,1.4020306
10692,41.67,0.39,2.01,4.59,2.18,20.112462,0.61,1.39,419.67,307.03,16,10,5,2.81,14,1,42.5,-42,96.7,0,1,1,19.85,-0.8,-1.1,0,0,0.183066
10705,41.66,0.39,2.01,4.61,2.19,20.292759,0.62,1.42,422.03,306.79,16,10,5,2.82,14,1,42.5,-42,96.7,0,14,2,16.95,4,1.2,0,0,1.2625039
10717,41.65,0.39,2.01,4.6,2.18,20.15628,0.61,1.39,421.3,306.41,16,10,5,2.78,14,1,42.5,-42,96.7,0,26,5,18.4,9.1,1.2,0,0,0.22014883
10698,41.63,0.39,1.99,4.61,2.22,20.366058,0.59,1.4,420.3,307.08,16,10,5,2.78,14,1,42.5,-42,96.7,0,7,1,19.85,8.8,-1.1,0,0,0.12978628
10707,41.62,0.39,1.98,4.6,2.19,19.94652,0.6,1.39,420.29,306.48,16,10,5,2.81,14,1,42.5,-42,96.7,0,16,2,16.95,8.8,-1.1,0,0,0.80046111
6535,41.61,0.76,2,1.79,1.98,7.0884,2,0.41,430.29,297.53,10,8,7,0.82,27,1,42.5,-42,96.7,0,2,1,11.85,1.2,1.3,0,0,0.055938616
10716,41.6,0.39,2,4.6,2.21,20.332,0.6,1.4,420.47,306.78,16,10,5,2.82,14,1,42.5,-42,96.7,0,25,5,18.4,9.1,-1.1,0,0,0.21915148
7979,41.59,0.26,2.4,8.38,0.81,16.29072,0.4,0.59,401.37,284.88,10,13,6,1.38,16,1,42.5,-42,96.7,0,15,2,11.15,2.8,5.1,0,0,1.4058537
10695,41.58,0.39,2.01,4.59,2.2,20.29698,0.59,1.4,421.87,306.76,16,10,5,2.81,14,1,42.5,-42,96.7,0,4,1,19.85,4,-1.1,0,0,0.23505323
10696,41.58,0.39,1.98,4.58,2.2,19.95048,0.59,1.41,419.4,306.64,16,10,5,2.78,14,1,42.5,-42,96.7,0,5,1,19.85,4,1.2,0,0,0.20059346
10697,41.58,0.39,2.01,4.58,2.18,20.068644,0.59,1.42,419.75,305.97,16,10,5,2.81,14,1,42.5,-42,96.7,0,6,1,19.85,4,3.5,0,0,0.12853442
10710,41.57,0.39,2.01,4.6,2.21,20.43366,0.61,1.41,422.16,307.18,16,10,5,2.79,14,1,42.5,-42,96.7,0,19,3,18.4,-1.05,-1.1,0,0,0.74023569
10706,41.55,0.39,1.98,4.61,2.2,20.08116,0.61,1.41,421.78,306.8,16,10,5,2.78,14,1,42.5,-42,96.7,0,15,2,16.95,4,3.5,0,0,1.2045435
10709,41.55,0.39,2,4.61,2.2,20.284,0.62,1.41,421.16,306.49,16,10,5,2.78,14,1,42.5,-42,96.7,0,18,2,16.95,8.8,3.5,0,0,0.75143552
10703,41.54,0.39,2,4.62,2.2,20.328,0.59,1.42,420.52,306.12,16,10,5,2.81,14,1,42.5,-42,96.7,0,12,2,16.95,-0.8,3.5,0,0,1.3920686
10714,41.54,0.39,1.98,4.61,2.22,20.263716,0.6,1.39,420.66,306.76,16,10,5,2.78,14,1,42.5,-42,96.7,0,23,4,18.4,4,3.8,0,0,0.41482094
10718,41.54,0.39,2.02,4.59,2.21,20.490678,0.6,1.4,420.02,306.87,16,10,5,2.79,14,1,42.5,-42,96.7,0,27,5,18.4,9.1,3.5,0,0,0.27286735
10712,41.52,0.39,2.01,4.61,2.21,20.478081,0.59,1.41,419.76,306.95,16,10,5,2.79,14,1,42.5,-42,96.7,0,21,3,18.4,-1.05,3.5,0,0,0.67020345
10713,41.48,0.39,1.98,4.59,2.21,20.084922,0.58,1.39,419.46,306.81,16,10,5,2.82,14,1,42.5,-42,96.7,0,22,4,18.4,-0.8,3.8,0,0,0.53000563
10715,41.46,0.39,2,4.61,2.21,20.3762,0.61,1.38,420.4,306.47,16,10,5,2.79,14,1,42.5,-42,96.7,0,24,4,18.4,8.8,3.8,0,0,0.29411137
10699,41.39,0.39,1.99,4.59,2.2,20.09502,0.59,1.42,420.19,307.13,16,10,5,2.8,14,1,42.5,-42,96.7,0,8,1,19.85,8.8,1.2,0,0,0.11537171
10711,41.39,0.39,2.01,4.61,2.18,20.200098,0.58,1.41,421.41,306.69,16,10,5,2.79,14,1,42.5,-42,96.7,0,20,3,18.4,-1.05,1.2,0,0,0.73631555
10352,41.3,0.38,0.39,4,1.4,2.184,0.79,0.8,416.15,346.52,9,4,15,1.8,10,1,42.5,-42,96.7,0,12,2,9.15,-0.2,13.6,0,0,0.23958121
10353,41.26,0.38,0.4,4,1.41,2.256,0.81,0.8,415.67,345.78,9,4,15,1.81,10,1,42.5,-42,96.7,0,13,2,9.15,1.6,-1,0,0,0.87457705
10341,41.25,0.37,0.4,4,1.39,2.224,0.8,0.78,415.97,346.22,9,4,15,1.82,10,1,42.5,-42,96.7,0,1,1,11.05,-0.2,-1,0,0,0.12780333
10359,41.22,0.38,0.38,3.98,1.41,2.132484,0.8,0.79,417.36,345.29,9,4,15,1.78,10,1,42.5,-42,96.7,0,19,3,10.1,-0.45,-1,0,0,0.40294802
10362,41.22,0.38,0.42,3.99,1.39,2.329362,0.79,0.8,417.05,345.7,9,4,15,1.78,10,1,42.5,-42,96.7,0,22,4,10.1,-0.2,13.9,0,0,0.10756642
10365,41.18,0.37,0.4,4.01,1.4,2.2456,0.79,0.78,416.01,345.64,9,4,15,1.8,10,1,42.5,-42,96.7,0,25,5,10.1,3.65,-1,0,0,0.24668185
10364,41.15,0.37,0.4,4.01,1.39,2.22956,0.79,0.8,416.55,344.78,9,4,15,1.81,10,1,42.5,-42,96.7,0,24,4,10.1,3.4,13.9,0,0,0.081133738
10342,41.14,0.38,0.42,3.99,1.39,2.329362,0.81,0.81,415.42,345.62,9,4,15,1.81,10,1,42.5,-42,96.7,0,2,1,11.05,-0.2,6.3,0,0,0.11350743
10347,41.14,0.38,0.4,4.01,1.41,2.26164,0.81,0.8,414.74,346.25,9,4,15,1.8,10,1,42.5,-42,96.7,0,7,1,11.05,3.4,-1,0,0,0.070909597
10389,41.14,0.7,1.41,4,0.98,5.5272,1.59,0.39,321.76,341.32,8,11,10,0.58,10,1,42.5,-42,96.7,0,22,4,9,-3.9,8.3,0,0,0.16821475
10343,41.13,0.38,0.41,4.02,1.39,2.290998,0.79,0.81,415.82,345.72,9,4,15,1.81,10,1,42.5,-42,96.7,0,3,1,11.05,-0.2,13.6,0,0,0.085188456
10390,41.12,0.7,1.41,4.02,0.99,5.611518,1.59,0.4,322.1,341.76,8,11,10,0.58,10,1,42.5,-42,96.7,0,23,4,9,1.4,8.3,0,0,0.1649332
10375,41.11,0.7,1.42,4.01,0.99,5.637258,1.59,0.41,322.06,341.66,8,11,10,0.6,10,1,42.5,-42,96.7,0,8,1,9.35,6.7,3.2,0,0,0.069290467
10349,41.1,0.38,0.4,3.99,1.38,2.20248,0.81,0.78,415.73,345.87,9,4,15,1.78,10,1,42.5,-42,96.7,0,9,1,11.05,3.4,13.6,0,0,0.066396452
10368,41.1,0.7,1.38,4.01,0.99,5.478462,1.62,0.39,322.34,341.63,8,11,10,0.61,10,1,42.5,-42,96.7,0,1,1,9.35,-3.9,-1.6,0,0,0.13608792
10355,41.08,0.38,0.42,4.02,1.42,2.397528,0.79,0.8,416.39,345.62,9,4,15,1.79,10,1,42.5,-42,96.7,0,15,2,9.15,1.6,13.6,0,0,0.2291477
10384,41.08,0.7,1.4,4,1,5.6,1.59,0.41,321.65,341.84,8,11,10,0.59,10,1,42.5,-42,96.7,0,17,2,8.65,6.7,3.2,0,0,0.42109129
10387,41.08,0.7,1.4,3.98,1,5.572,1.61,0.42,322.09,341.25,8,11,10,0.6,10,1,42.5,-42,96.7,0,20,3,9,-4.15,3.2,0,0,0.20626298
10357,41.06,0.38,0.41,4,1.38,2.2632,0.78,0.81,416.53,346.09,9,4,15,1.81,10,1,42.5,-42,96.7,0,17,2,9.15,3.4,6.3,0,0,0.36075073
10345,41.05,0.38,0.38,4.01,1.41,2.148558,0.81,0.78,415.67,345.62,9,4,15,1.8,10,1,42.5,-42,96.7,0,5,1,11.05,1.6,6.3,0,0,0.09812472
10348,41.05,0.38,0.38,4,1.42,2.1584,0.81,0.8,416.79,345.49,9,4,15,1.81,10,1,42.5,-42,96.7,0,8,1,11.05,3.4,6.3,0,0,0.059621431
10350,41.05,0.38,0.39,4,1.41,2.1996,0.79,0.8,414.59,345.8,9,4,15,1.81,10,1,42.5,-42,96.7,0,10,2,9.15,-0.2,-1,0,0,0.82051885
10383,41.05,0.69,1.41,4,1,5.64,1.6,0.38,322.27,341.61,8,11,10,0.59,10,1,42.5,-42,96.7,0,16,2,8.65,6.7,-1.6,0,0,0.58670086
10354,41.04,0.38,0.4,3.99,1.42,2.26632,0.79,0.81,415.68,345.36,9,4,15,1.79,10,1,42.5,-42,96.7,0,14,2,9.15,1.6,6.3,0,0,0.41314581
10351,41.03,0.38,0.41,3.98,1.4,2.28452,0.8,0.82,416.94,346.24,9,4,15,1.79,10,1,42.5,-42,96.7,0,11,2,9.15,-0.2,6.3,0,0,0.38114524
10367,41.03,0.38,0.4,4,1.39,2.224,0.8,0.79,415.83,345.97,9,4,15,1.79,10,1,42.5,-42,96.7,0,27,5,10.1,3.65,13.6,0,0,0.091851398
10394,41.03,0.7,1.38,4,1.02,5.6304,1.6,0.41,322.37,341.73,8,11,10,0.59,10,1,42.5,-42,96.7,0,27,5,9,6.95,8,0,0,0.13302511
10361,41.02,0.38,0.39,4,1.38,2.1528,0.8,0.8,415.95,345.88,9,4,15,1.81,10,1,42.5,-42,96.7,0,21,3,10.1,-0.45,13.6,0,0,0.18950605
10366,41.02,0.37,0.39,4.01,1.4,2.18946,0.81,0.79,417.18,345.7,9,4,15,1.81,10,1,42.5,-42,96.7,0,26,5,10.1,3.65,6.3,0,0,0.14833328
10356,40.98,0.38,0.39,4.01,1.41,2.205099,0.79,0.81,416.05,345.55,9,4,15,1.78,10,1,42.5,-42,96.7,0,16,2,9.15,3.4,-1,0,0,0.74277586
10346,40.97,0.37,0.39,3.99,1.4,2.17854,0.8,0.78,415.43,345.77,9,4,15,1.8,10,1,42.5,-42,96.7,0,6,1,11.05,1.6,13.6,0,0,0.083384812
10373,40.95,0.7,1.4,3.98,1.01,5.62772,1.61,0.38,321.06,341.64,8,11,10,0.61,10,1,42.5,-42,96.7,0,6,1,9.35,1.4,8,0,0,0.075122401
